datetime,height_m,type
2010-01-01 06:05:00,0.67,LW
2010-01-01 12:07:00,4.73,HW
2010-01-01 18:22:00,0.77,LW
2010-01-02 00:24:00,4.73,HW
2010-01-02 06:56:00,0.53,LW
2010-01-02 13:01:00,4.83,HW
2010-01-02 19:08:00,0.73,LW
2010-01-03 01:10:00,4.81,HW
2010-01-03 07:46:00,0.42,LW
2010-01-03 13:54:00,4.87,HW
2010-01-03 19:52:00,0.74,LW
2010-01-04 01:57:00,4.84,HW
2010-01-04 08:35:00,0.38,LW
2010-01-04 14:44:00,4.82,HW
2010-01-04 20:36:00,0.79,LW
2010-01-05 02:44:00,4.81,HW
2010-01-05 09:23:00,0.41,LW
2010-01-05 15:33:00,4.70,HW
2010-01-05 21:20:00,0.89,LW
2010-01-06 03:30:00,4.73,HW
2010-01-06 10:11:00,0.51,LW
2010-01-06 16:22:00,4.52,HW
2010-01-06 22:05:00,1.02,LW
2010-01-07 04:19:00,4.60,HW
2010-01-07 11:03:00,0.67,LW
2010-01-07 17:13:00,4.32,HW
2010-01-07 22:55:00,1.18,LW
2010-01-08 05:16:00,4.42,HW
2010-01-08 12:01:00,0.86,LW
2010-01-08 18:12:00,4.14,HW
2010-01-08 23:57:00,1.34,LW
2010-01-09 06:24:00,4.24,HW
2010-01-09 13:05:00,1.05,LW
2010-01-09 19:17:00,4.01,HW
2010-01-10 01:19:00,1.43,LW
2010-01-10 07:36:00,4.11,HW
2010-01-10 14:09:00,1.19,LW
2010-01-10 20:25:00,3.98,HW
2010-01-11 02:34:00,1.40,LW
2010-01-11 08:49:00,4.07,HW
2010-01-11 15:12:00,1.27,LW
2010-01-11 21:31:00,4.04,HW
2010-01-12 03:43:00,1.28,LW
2010-01-12 10:00:00,4.13,HW
2010-01-12 16:11:00,1.26,LW
2010-01-12 22:29:00,4.16,HW
2010-01-13 04:45:00,1.10,LW
2010-01-13 10:59:00,4.24,HW
2010-01-13 17:01:00,1.21,LW
2010-01-13 23:14:00,4.28,HW
2010-01-14 05:35:00,0.94,LW
2010-01-14 11:44:00,4.33,HW
2010-01-14 17:42:00,1.13,LW
2010-01-14 23:49:00,4.39,HW
2010-01-15 06:15:00,0.82,LW
2010-01-15 12:21:00,4.39,HW
2010-01-15 18:18:00,1.04,LW
2010-01-16 00:20:00,4.48,HW
2010-01-16 06:51:00,0.74,LW
2010-01-16 12:52:00,4.44,HW
2010-01-16 18:51:00,0.98,LW
2010-01-17 00:51:00,4.57,HW
2010-01-17 07:23:00,0.70,LW
2010-01-17 13:24:00,4.48,HW
2010-01-17 19:22:00,0.92,LW
2010-01-18 01:24:00,4.63,HW
2010-01-18 07:53:00,0.68,LW
2010-01-18 13:57:00,4.50,HW
2010-01-18 19:52:00,0.89,LW
2010-01-19 01:59:00,4.65,HW
2010-01-19 08:24:00,0.67,LW
2010-01-19 14:32:00,4.47,HW
2010-01-19 20:24:00,0.89,LW
2010-01-20 02:32:00,4.61,HW
2010-01-20 08:55:00,0.70,LW
2010-01-20 15:06:00,4.39,HW
2010-01-20 20:57:00,0.95,LW
2010-01-21 03:03:00,4.52,HW
2010-01-21 09:28:00,0.77,LW
2010-01-21 15:38:00,4.29,HW
2010-01-21 21:32:00,1.04,LW
2010-01-22 03:35:00,4.43,HW
2010-01-22 10:03:00,0.87,LW
2010-01-22 16:12:00,4.18,HW
2010-01-22 22:10:00,1.14,LW
2010-01-23 04:14:00,4.32,HW
2010-01-23 10:43:00,0.98,LW
2010-01-23 16:53:00,4.08,HW
2010-01-23 22:55:00,1.26,LW
2010-01-24 05:03:00,4.19,HW
2010-01-24 11:34:00,1.11,LW
2010-01-24 17:45:00,3.98,HW
2010-01-24 23:54:00,1.37,LW
2010-01-25 06:06:00,4.06,HW
2010-01-25 12:44:00,1.22,LW
2010-01-25 18:54:00,3.91,HW
2010-01-26 01:17:00,1.40,LW
2010-01-26 07:26:00,4.01,HW
2010-01-26 14:08:00,1.24,LW
2010-01-26 20:25:00,3.98,HW
