Comment,Designator,Footprint,LCSC,Quantity
100kΩ,"R1,R13,R14,R16,R17,R3,R7,R8",R_0603,C25803,8
100nF,"C1,C14",C_0603,C14663,2
100nF,"C10,C3,C4,C5,C6",C_0402,C1525,5
100nF,C8,C_0805,C28233,1
100pF,C11,C_0402,C1546,1
10kΩ,"R18,R20",R_0402,C25744,2
10kΩ,"R10,R6,R9",R_0603,C25804,3
10uF,"C12,C13",C_1206,C13585,2
1MΩ,R11,R_0603,C22935,1
1kΩ,"R12,R2,R5",R_0603,C21190,3
1uF,C7,C_0805,C28323,1
220nF,C2,C_0805,C5378,1
4.7uF,"C15,C9",C_1206,C29823,2
470kΩ,R15,R_0603,C23178,1
47kΩ,R4,R_0603,C25819,1
AO3400A,Q5,Q_SOT-23,C20917,1
AO3401A,"Q1,Q2,Q3,Q4,Q6",Q_SOT-23,C15127,5
DS3231MZ+,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C107410,1
NT3H2111W0FHKH,U4,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,C710403,1
Red,"D1,D2",D_0603,C2286,2
STM32F411RET6,U6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,C94355,1
TPS61099DRVR,U3,WSON-6_L2.0-W2.0-P0.65-TL-EP,C2842395,1
VLS201610CX-2R2M-1,U1,IND-SMD_L2.0-W1.6,C2041554,1
