Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603,166.666285,-98.739337,90.0,top
C10,100nF,C_0402,151.51,-106.26,180.0,top
C11,100pF,C_0402,154.4,-109.6,-90.0,top
C12,10uF,C_1206,160.0,-109.58,-90.0,top
C13,10uF,C_1206,158.7,-105.98,180.0,top
C14,100nF,C_0603,168.1,-106.6,0.0,top
C15,4.7uF,C_1206,150.1,-97.6,90.0,top
C2,220nF,C_0805,169.296285,-114.581837,-90.0,top
C3,100nF,C_0402,148.14,-111.21,-90.0,top
C4,100nF,C_0402,136.99,-109.98,180.0,top
C5,100nF,C_0402,137.03,-99.53,90.0,top
C6,100nF,C_0402,146.8,-97.59,0.0,top
C7,1uF,C_0805,151.67,-103.98,90.0,top
C8,100nF,C_0805,153.77,-103.99,90.0,top
C9,4.7uF,C_1206,142.74,-96.72,180.0,top
D1,Red,D_0603,140.16,-116.7,0.0,top
D2,Red,D_0603,136.94,-114.15,0.0,top
Q1,AO3401A,Q_SOT-23,159.931285,-101.739337,180.0,top
Q2,AO3401A,Q_SOT-23,163.951285,-98.514337,0.0,top
Q3,AO3401A,Q_SOT-23,166.771285,-111.041837,0.0,top
Q4,AO3401A,Q_SOT-23,166.276285,-114.601837,180.0,top
Q5,AO3400A,Q_SOT-23,164.781285,-118.401837,90.0,top
Q6,AO3401A,Q_SOT-23,135.94,-96.75,180.0,top
R1,100kΩ,R_0603,161.266285,-98.389337,90.0,top
R10,10kΩ,R_0603,146.54,-113.03,0.0,top
R11,1MΩ,R_0603,155.6,-106.1,-90.0,top
R12,1kΩ,R_0603,134.401285,-99.911837,90.0,top
R13,100kΩ,R_0603,135.791285,-99.901837,90.0,top
R14,100kΩ,R_0603,154.2,-107.2,-90.0,top
R15,470kΩ,R_0603,155.6,-108.9,-90.0,top
R16,100kΩ,R_0603,152.15,-97.4,-90.0,top
R17,100kΩ,R_0603,151.2,-109.0,90.0,top
R18,10kΩ,R_0402,139.55,-114.45,180.0,top
R2,1kΩ,R_0603,159.141285,-97.689337,0.0,top
R20,10kΩ,R_0402,140.0,-115.35,180.0,top
R3,100kΩ,R_0603,164.126285,-111.441837,-90.0,top
R4,47kΩ,R_0603,152.941285,-101.551837,180.0,top
R5,1kΩ,R_0603,169.806285,-118.921837,90.0,top
R6,10kΩ,R_0603,143.6,-114.41,0.0,top
R7,100kΩ,R_0603,162.616285,-101.764337,90.0,top
R8,100kΩ,R_0603,163.646285,-114.521837,-90.0,top
R9,10kΩ,R_0603,143.64,-113.02,0.0,top
U1,VLS201610CX-2R2M-1,IND-SMD_L2.0-W1.6,157.2,-112.48,180.0,top
U2,DS3231MZ+,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,167.491285,-102.919337,-90.0,top
U3,TPS61099DRVR,WSON-6_L2.0-W2.0-P0.65-TL-EP,157.55,-109.35,-90.0,top
U4,NT3H2111W0FHKH,XQFN-8_L1.6-W1.6-P0.50-BL_NT3H2111W0FHKH,171.646285,-114.341837,180.0,top
U6,STM32F411RET6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,143.5,-105.0,90.0,top
